Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/sync-route-sync-inner-async-bg-sync-task,127,0,370.0,1536.1012214253699,205.30512499681208,8096.904291000101,182.1496062992126,5.362631682450127,0.0,370,470,590,650,7900,8000,8000,8000,8100,8100,8100
,Aggregated,127,0,370.0,1536.1012214253699,205.30512499681208,8096.904291000101,182.1496062992126,5.362631682450127,0.0,370,470,590,650,7900,8000,8000,8000,8100,8100,8100
