Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/async-route-sync-inner-async-bg-async-task,137,0,1700.0,1709.5545772629846,216.14791700267233,5576.585082992096,201.0,4.856668175174319,0.0,1700,1800,1800,1900,1900,1900,3500,4500,5600,5600,5600
,Aggregated,137,0,1700.0,1709.5545772629846,216.14791700267233,5576.585082992096,201.0,4.856668175174319,0.0,1700,1800,1800,1900,1900,1900,3500,4500,5600,5600,5600
