Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/sync-route-sync-inner-async-bg-async-task,554,0,210.0,208.68132074914297,201.99166699603666,230.05920799914747,198.0,19.106782837457274,0.0,210,210,210,210,210,210,220,220,230,230,230
,Aggregated,554,0,210.0,208.68132074914297,201.99166699603666,230.05920799914747,198.0,19.106782837457274,0.0,210,210,210,210,210,210,220,220,230,230,230
