timestamp,cpu_percent,memory_rss_mb,memory_vms_mb,process_threads,thread_pool_total,thread_pool_borrowed,thread_pool_available,thread_pool_waiting,pending_bg_tasks,active_threads,phase
2025-12-10T08:13:41.251578,0.0,48.578125,425130.40625,5,40,0,40,0,0,1,test
2025-12-10T08:13:42.264766,2.2,49.734375,425292.03125,15,40,3,37,0,18,11,test
2025-12-10T08:13:43.270947,8.7,50.515625,425372.34375,20,40,8,32,0,53,16,test
2025-12-10T08:13:44.283370,12.3,51.609375,425437.625,24,40,13,27,0,107,20,test
2025-12-10T08:13:45.294022,17.0,53.15625,425567.125,32,40,21,19,0,182,28,test
2025-12-10T08:13:46.308362,18.0,54.203125,425568.125,32,40,15,25,0,264,28,test
2025-12-10T08:13:47.316837,11.2,55.34375,425569.125,32,40,17,23,0,341,28,test
2025-12-10T08:13:48.322614,17.2,56.390625,425570.125,32,40,16,24,0,420,28,test
2025-12-10T08:13:49.334806,16.9,57.359375,425571.125,32,40,14,26,0,494,28,test
2025-12-10T08:13:50.343073,18.3,58.484375,425572.125,32,40,16,24,0,573,28,test
2025-12-10T08:13:51.352146,17.0,59.546875,425573.125,32,40,19,21,0,649,28,test
2025-12-10T08:13:52.360420,18.7,60.4375,425574.125,32,40,17,23,0,714,28,test
2025-12-10T08:13:53.371538,18.6,61.015625,425574.125,32,40,15,25,0,756,28,test
2025-12-10T08:13:54.383829,17.8,61.359375,425575.125,32,40,12,28,0,778,28,test
2025-12-10T08:13:55.396654,16.3,61.390625,425543.0,30,40,15,25,0,777,26,test
2025-12-10T08:13:56.403186,15.9,61.390625,425543.0,30,40,16,24,0,773,26,test
2025-12-10T08:13:57.415760,19.3,61.390625,425543.0,30,40,16,24,0,775,26,test
2025-12-10T08:13:58.426678,16.1,61.390625,425543.0,30,40,15,25,0,776,26,test
2025-12-10T08:13:59.431623,15.6,61.390625,425543.0,30,40,15,25,0,780,26,test
2025-12-10T08:14:00.441950,18.6,61.46875,425543.0,30,40,15,25,0,781,26,test
2025-12-10T08:14:01.453753,15.2,61.46875,425543.0,30,40,14,26,0,785,26,test
2025-12-10T08:14:02.462993,17.3,61.4375,425526.9375,29,40,13,27,0,780,25,test
2025-12-10T08:14:03.473694,18.7,61.4375,425526.9375,29,40,22,18,0,768,25,test
2025-12-10T08:14:04.483259,18.8,61.4375,425526.9375,29,40,13,27,0,775,25,test
2025-12-10T08:14:05.489316,16.9,61.4375,425526.9375,29,40,16,24,0,775,25,test
2025-12-10T08:14:06.501322,13.4,61.4375,425526.9375,29,40,18,22,0,773,25,test
2025-12-10T08:14:07.508991,17.7,61.4375,425526.9375,29,40,13,27,0,780,25,test
2025-12-10T08:14:08.520264,21.7,61.578125,425591.1875,33,40,14,26,0,777,29,test
2025-12-10T08:14:09.533428,17.8,61.578125,425591.1875,33,40,22,18,0,773,29,test
2025-12-10T08:14:10.545439,20.0,61.578125,425591.1875,33,40,12,28,0,780,29,test
2025-12-10T08:14:11.556325,13.8,61.578125,425591.1875,33,40,1,39,0,771,29,bg_completion
2025-12-10T08:14:12.562760,2.1,61.578125,425591.1875,33,40,0,40,0,698,29,bg_completion
2025-12-10T08:14:13.571337,3.8,61.578125,425591.1875,33,40,0,40,0,621,29,bg_completion
2025-12-10T08:14:14.584647,3.7,61.578125,425591.1875,33,40,0,40,0,542,29,bg_completion
2025-12-10T08:14:15.597848,3.4,61.578125,425591.1875,33,40,0,40,0,466,29,bg_completion
2025-12-10T08:14:16.609682,3.4,61.578125,425591.1875,33,40,0,40,0,386,29,bg_completion
2025-12-10T08:14:17.623005,3.7,61.578125,425591.1875,33,40,0,40,0,307,29,bg_completion
2025-12-10T08:14:18.634672,3.8,61.578125,425591.1875,33,40,0,40,0,221,29,bg_completion
2025-12-10T08:14:19.645145,3.3,61.578125,425591.1875,33,40,0,40,0,144,29,bg_completion
2025-12-10T08:14:20.658789,3.4,61.578125,425591.1875,33,40,0,40,0,65,29,bg_completion
2025-12-10T08:14:21.671985,3.6,61.578125,425591.1875,33,40,0,40,0,0,29,bg_completion
